RG    IS  MM  DD  HH  N   WR      WG       t       p        x   RF   W     B     D IK    A      E IL
***
11     1   1   8  24  8  260    22.0     1.3    880.9     4.3   90  -1     0     0 1   288   -319  9
11     1   1   9   1  8  260    22.0     1.3    881.0     4.3   91  -1     0     0 1   288   -319  9
11     1   1   9   2  8  270    19.0     1.2    881.4     4.4   93  -1     0     0 1   306   -320  9
11     1   1   9   3  8  260    19.0     1.5    881.7     4.4   92  -1     0     0 1   307   -322  9
11     1   1   9   4  8  260    22.0     1.4    881.2     4.5   94  -1     0     0 1   307   -321  9
11     1   1   9   5  8  270    20.0     1.6    881.5     4.6   94  -1     0     0 1   308   -322  9
11     1   1   9   6  8  270    20.0     1.9    881.8     4.6   93  -1     0     0 1   309   -324  9
11     1   1   9   7  8  270    20.0     2.0    881.9     4.5   91  -1     0     0 1   291   -323  9
11     1   1   9   8  8  270    19.0     2.1    882.7     4.6   91  -1     0     0 1   292   -323  9
11     1   1   9   9  8  270    19.0     2.1    883.1     4.6   91  -1     0     6 1   292   -323  9
11     1   1   9  10  8  270    19.0     2.2    883.5     4.7   93  41     0    19 1   292   -324  9
11     1   1   9  11  7  270    19.0     2.4    884.2     4.7   92  28     3    67 1   293   -325  9
11     1   1   9  12  7  270    19.0     2.6    884.4     4.6   89  -1     6    86 1   294   -326  9
11     1   1   9  13  7  270    18.0     2.9    884.6     4.6   87   3     3    86 1   296   -327  9
11     1   1   9  14  7  280    18.0     3.1    884.7     4.7   87  -1     3    75 1   297   -328  9
11     1   1   9  15  8  280    18.0     2.8    885.1     4.8   91  -1     0    28 1   295   -326  9
11     1   1   9  16  8  280    17.0     2.9    885.8     4.9   92  -1     0    11 1   296   -327  9
11     1   1   9  17  8  280    13.0     2.9    886.7     4.8   92  -1     0     0 1   296   -327  9
11     1   1   9  18  8  280    13.0     2.9    887.5     4.8   92  -1     0     0 1   296   -327  9
11     1   1   9  19  9  270    12.0     2.8    887.9     4.9   94  47     0     0 1   314   -328  9
11     1   1   9  20  9  280    13.0     3.2    888.0     5.1   95  45     0     0 1   316   -330  9
11     1   1   9  21  9  270    13.0     3.1    888.0     5.0   94  45     0     0 1   315   -329  9
11     1   1   9  22  9  280    14.0     3.0    887.9     5.2   99  45     0     0 1   315   -329  9
11     1   1   9  23  9  280    16.0     2.8    887.4     5.2  100  45     0     0 1   314   -328  9
11     1   1   9  24  9  280    12.0     2.5    888.1     5.1   99  45     0     0 1   312   -326  9
11     1   1  10   1  9  280    13.0     2.2    888.2     5.0  100  45     0     0 1   311   -325  9
11     1   1  10   2  7  280    10.0     2.1    888.6     4.9   98  28     0     0 1   292   -323  9
11     1   1  10   3  7  280    10.0     2.6    888.8     5.0   97  -1     0     0 1   294   -326  9
11     1   1  10   4  9  280     9.0     2.6    889.0     5.1   99  47     0     0 1   313   -327  9
11     1   1  10   5  9  270     9.0     2.5    889.1     5.0   99  45     0     0 1   312   -326  9
11     1   1  10   6  9  280     9.0     2.5    889.0     5.1   99  45     0     0 1   312   -326  9
11     1   1  10   7  9  280    10.0     2.4    888.9     5.1  100  45     0     0 1   312   -326  9
11     1   1  10   8  9  290    10.0     2.4    888.9     5.1  100  45     0     0 1   312   -326  9
11     1   1  10   9  5  290     9.0     2.7    889.2     5.1   99  28    31    22 1   268   -324  9
11     1   1  10  10  1  290     6.0     2.8    889.7     5.0   95   1   100    83 1   248   -323  9
11     1   1  10  11  1  300     5.0     3.8    890.0     4.8   86  -1   172    83 1   254   -328  9
11     1   1  10  12  6  320     2.0     4.4    890.4     5.0   86  -1    19   139 1   288   -333  9
11     1   1  10  13  4  260     0.0     4.2    890.0     4.7   81   1   106   125 1   267   -331  9
11     1   1  10  14  3  220     2.0     5.9    889.7     4.9   76  -1   211    53 1   271   -339  9
11     1   1  10  15  3  200     3.0     5.4    889.3     5.1   81  -1   125    44 1   268   -336  9
11     1   1  10  16  0  210     7.0     4.3    889.0     5.1   89  -1    42    19 1   256   -330  9
11     1   1  10  17  0  200     7.0     3.6    888.8     4.6   84  -1     0     0 1   252   -327  9
11     1   1  10  18  0  200     8.0     3.2    888.5     4.7   88  -1     0     0 1   250   -325  9
11     1   1  10  19  0  200     9.0     3.3    888.2     4.7   87  -1     0     0 1   251   -326  9
11     1   1  10  20  0  210    10.0     3.2    888.1     4.6   86  -1     0     0 1   250   -325  9
11     1   1  10  21  0  220    10.0     3.9    888.3     4.2   73  -1     0     0 1   254   -328  9
11     1   1  10  22  0  210     8.0     3.6    888.1     4.2   76  -1     0     0 1   252   -327  9
11     1   1  10  23  0  220     7.0     3.9    888.2     4.1   72  -1     0     0 1   254   -328  9
11     1   1  10  24  0  220     7.0     6.5    888.0     2.5   37  -1     0     0 1   269   -341  9
11     1   1  11   1  0  210     7.0     6.3    887.7     2.0   30  -1     0     0 1   267   -340  9
11     1   1  11   2  0  220     7.0     5.8    887.5     2.1   32  -1     0     0 1   265   -338  9
11     1   1  11   3  0  220     6.0     7.0    887.4     1.8   25  -1     0     0 1   271   -344  9
11     1   1  11   4  0  210     5.0     8.0    887.2     1.4   19  -1     0     0 1   277   -349  9
11     1   1  11   5  0  210     7.0     7.7    887.0     1.5   20  -1     0     0 1   276   -347  9
11     1   1  11   6  0  230     6.0     8.0    886.6     1.3   17  -1     0     0 1   277   -349  9
11     1   1  11   7  0  220     6.0     9.1    886.5     1.2   14  -1     0     0 1   284   -355  9
11     1   1  11   8  0  220     5.0     9.4    886.5     1.1   13  -1     0     0 1   286   -356  9
11     1   1  11   9  0  210     5.0     9.5    886.5     1.2   14  -1    42    22 1   286   -357  9
11     1   1  11  10  0  210     5.0    10.3    886.4     1.1   12  -1   142    42 1   291   -361  9
11     1   1  11  11  0  190     5.0    10.6    886.4     1.2   13  -1   233    44 1   293   -362  9
11     1   1  11  12  0  200     7.0     9.2    886.2     1.5   18  -1   278    50 1   284   -355  9
11     1   1  11  13  1  200     7.0     9.2    886.1     1.5   19  -1   283    50 1   285   -355  9
11     1   1  11  14  1  200     7.0    10.0    885.8     1.4   16  -1   239    44 1   289   -359  9
11     1   1  11  15  1  200     8.0     9.7    885.4     1.6   19  -1   150    36 1   288   -358  9
11     1   1  11  16  1  200     7.0    10.1    885.2     1.3   15  -1    39    19 1   290   -360  9
11     1   1  11  17  1  200     9.0     9.3    885.0     1.2   15  -1     0     0 1   285   -356  9
11     1   1  11  18  1  200    10.0     8.8    884.7     1.3   17  -1     0     0 1   282   -353  9
11     1   1  11  19  1  210    10.0     8.4    884.5     1.3   16  -1     0     0 1   280   -351  9
11     1   1  11  20  1  210    11.0     8.6    884.3     1.1   14  -1     0     0 1   281   -352  9
11     1   1  11  21  1  220    11.0     8.5    884.3     1.1   14  -1     0     0 1   280   -352  9
11     1   1  11  22  1  230    13.0     7.2    884.3     1.3   18  -1     0     0 1   273   -345  9
